,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label,gmm_id,weights
3916,0.2558,0.6221,0.6406,0.8851,1.0446,0.2383,0.1563,0.3366,0.2372,0.3322,-0.3054,0.1813,0.4284,0.1544,0.7666,0.6003,-0.203,0.4998,0.4839,0.4385,1.1913,0.5528,0.4375,-0.208,0.4917,1.1961,0.7741,1.0346,1.194,0.2572,0.7267,0.5573,0.8292,1.2154,0.6132,0.9367,0.7486,0.6309,0.4143,0.2117,0.6992,0.2044,0.6602,0.2355,0.4589,0.4039,0.0054,0.5656,-0.0146,0.69,2,3,1.0
8963,0.3073,1.003,0.7537,0.3069,0.646,-0.0705,0.9764,0.8989,0.3394,-0.1252,0.72,0.3809,0.5435,0.4069,0.6177,-0.0208,0.9796,0.5764,0.7764,0.4868,1.0655,1.0483,0.3835,-0.0845,0.7154,1.0811,0.1944,0.587,0.8393,1.0661,0.4408,0.5547,0.4314,0.7255,0.8922,0.2963,0.2995,1.0385,0.3714,-0.0164,0.8119,0.1318,0.5475,0.3603,0.6443,0.9536,-0.0464,0.0923,0.5652,0.4105,7,4,1.0
11656,0.2626,0.6928,0.7388,0.1,0.3536,0.0644,0.9568,0.2105,-0.1086,0.5748,0.4023,0.4774,0.3743,0.6498,1.0167,0.2528,0.3587,0.2185,0.389,0.7689,0.533,0.0945,-0.0034,0.0593,0.515,0.802,0.5418,0.0828,0.3398,0.6421,1.1335,0.2842,-0.2625,0.1794,0.219,-0.2409,0.8456,0.6478,0.1793,-0.087,0.8618,0.5178,0.1901,0.9903,1.1366,0.3188,0.1988,0.3722,0.2315,0.1371,9,6,1.0
3052,0.9273,0.3736,0.2395,0.9448,0.4623,-0.266,0.2349,0.6935,0.6868,0.6298,0.9151,0.7489,0.0181,0.2985,0.7828,0.9431,0.6461,0.6455,0.9498,0.4989,0.3085,0.8234,0.5757,0.1886,1.0199,0.3698,0.7198,1.1844,0.3917,0.9276,0.6772,0.6289,1.0454,1.1173,0.2094,0.2056,0.6187,0.5995,0.2976,0.7001,0.314,1.0263,0.7849,0.4613,0.5683,0.6554,-0.0087,0.8776,0.3254,0.4234,2,1,1.0
2535,0.4226,0.3609,0.7114,0.2857,1.0079,0.5528,0.4352,0.1624,0.1879,0.4951,0.5242,0.5954,0.3583,0.6923,0.0488,-0.0088,0.1739,0.1863,0.008,0.6816,0.6926,-0.1782,0.0779,1.0302,0.1503,0.5787,0.5495,0.4169,0.2073,0.3918,0.4117,0.2238,0.1461,1.3109,0.6289,-0.247,0.5828,0.367,0.2234,0.5476,0.046,0.1123,0.779,0.3615,-0.0476,0.2634,1.0169,0.0961,0.23,0.577,2,2,1.0
9637,0.8599,0.449,1.19,0.503,1.3797,0.0701,1.0402,0.8462,-0.169,0.2209,0.7178,0.0438,0.0532,0.6919,0.6825,0.2701,0.8867,-0.0542,0.6577,0.5079,0.2521,0.4115,0.8767,0.4334,0.8981,0.5176,0.8942,0.4709,0.8892,1.2335,0.4538,0.2371,0.2587,0.2021,0.21,0.04,0.2118,0.3274,0.3874,-0.2228,0.2174,0.631,0.7722,0.6003,0.2356,0.0342,0.9298,0.5234,0.3803,0.7567,8,3,1.0
10822,0.068,-0.361,1.0909,0.1351,0.1294,0.8535,-0.0291,0.8838,-0.0329,0.5008,-0.0077,0.3532,-0.096,0.7612,0.7587,0.1359,0.5612,0.7919,0.0597,0.6159,0.3085,0.1934,0.5697,0.2283,0.3461,0.4032,0.7104,0.7015,0.6135,1.0184,0.2255,0.1685,0.2161,0.438,0.6234,0.3434,1.0101,0.4756,0.8331,0.3413,0.5361,0.7447,0.1975,0.7025,0.9377,0.9905,0.564,0.3865,1.0555,-0.3074,9,2,1.0
5465,0.8023,0.6307,0.4253,1.0381,-0.1069,0.1387,0.3179,0.9148,0.4847,0.3476,0.4886,1.3397,0.8371,0.2359,0.719,-0.2005,0.3376,0.0164,0.3006,0.5636,0.7451,0.1405,0.7738,1.2232,0.0481,1.0984,0.8583,0.8314,0.3399,0.8173,0.5704,0.3631,0.5687,0.4074,1.0353,0.3199,-0.1744,1.1049,1.0177,1.2958,0.6891,0.8611,0.2072,0.6324,0.9331,0.2584,0.4127,0.2037,0.8069,0.1532,4,0,1.0
9097,-0.0238,0.5711,0.9012,0.301,-0.0755,0.4385,0.7494,0.3852,-0.3409,0.2179,0.7344,1.2843,0.6806,0.2421,0.7835,0.2993,0.9155,0.654,0.601,0.1825,0.72,1.1299,-0.1938,-0.4074,0.4611,0.7644,0.3185,0.7191,0.6367,1.0013,0.3925,0.2061,0.3549,0.3805,0.8588,0.6785,0.4984,0.8841,0.1893,-0.224,0.4312,0.2015,0.1636,0.1953,0.1695,0.8932,-0.1345,0.2318,0.5437,0.6894,7,4,1.0
10909,0.8861,0.3667,0.8188,1.0585,0.3686,0.2966,0.6884,0.3872,1.1341,0.1435,0.615,0.011,0.1651,0.3821,0.2448,0.1722,-0.0788,0.0776,-0.0423,1.1303,-0.2363,1.0839,1.255,0.7918,0.7718,0.1271,0.8524,0.5945,0.1182,0.6058,0.4031,0.3845,0.4102,0.7165,0.1283,0.0247,0.8895,0.3197,0.8132,0.6265,0.1288,0.4181,0.4331,1.1163,0.4954,0.5464,0.2918,-0.6055,0.1147,0.3044,9,3,1.0
