,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label,gmm_id,weights
9174,-0.1838,0.7271,-0.1214,0.7131,0.4607,0.5643,0.6797,0.2027,1.1392,0.2043,0.3521,0.6566,1.5553,0.3501,0.3827,0.3965,0.7068,0.3196,0.9686,0.6181,0.4703,0.8642,0.6152,0.3397,0.3696,0.4541,0.351,0.6524,0.487,0.5645,1.0074,0.3228,0.2418,0.5591,0.4379,0.3754,0.7755,0.5236,0.7683,0.7297,0.2906,0.5687,0.5206,-0.2323,0.6281,0.4435,0.4967,0.8966,0.6493,-0.2362,4,5,1.0
6988,0.8258,0.3469,0.4803,0.6997,0.3439,0.7409,0.4351,0.1599,1.1139,0.0829,0.468,0.0954,0.4521,0.7718,0.14,1.0113,0.5217,0.2195,0.4821,0.7331,0.6855,0.8069,0.329,0.1331,-0.0241,0.1654,0.0506,0.1129,0.6667,1.1895,0.3503,0.199,0.382,0.1838,0.3996,0.046,0.4652,0.3386,0.3998,-0.2749,0.5493,1.104,0.3735,0.9315,0.824,0.6804,0.2753,0.063,0.7524,0.8606,3,4,1.0
13363,0.6526,0.1481,0.7102,0.704,-0.2195,1.0005,0.1676,0.8059,-0.354,0.7101,0.0369,0.9877,0.775,0.4889,0.522,0.3377,0.6429,0.86,0.4239,0.9067,0.6996,0.0088,0.3485,0.9698,0.0732,-0.1915,0.8978,0.0872,0.5857,1.0416,1.0941,0.5694,0.6212,0.5814,-0.0436,0.7766,1.0455,0.5559,0.484,0.2937,0.7067,0.1908,0.1559,0.6903,1.1057,0.4666,0.2824,0.4397,1.1848,0.1275,6,6,1.0
10408,0.6403,0.4957,0.156,0.0526,0.4786,0.627,0.0079,0.4072,0.4348,0.3687,-0.1122,0.3497,0.3245,0.2703,-0.1476,0.1964,0.1006,0.7456,0.2419,0.1976,-0.0713,0.9768,0.644,1.066,0.6181,0.964,0.6512,0.1163,0.4919,0.2621,0.9543,0.5875,0.3753,0.5905,1.3215,0.3819,0.7479,0.8736,0.2952,0.7047,0.7019,0.2229,1.1831,0.0346,0.7289,-0.0308,0.5326,0.9649,0.6139,1.2273,5,2,1.0
19223,0.2338,0.354,0.4689,0.0738,0.1846,0.3284,0.8693,-0.0861,0.2803,0.9132,0.071,0.7525,0.4907,0.7856,0.946,-0.1594,0.3628,0.0553,-0.0206,0.7114,0.8046,0.2338,0.203,0.1514,0.0204,1.1249,0.3259,0.3556,0.2043,0.8726,1.0569,0.4263,-0.0164,0.0475,-0.1339,-0.232,0.934,0.3045,-0.0085,0.1808,0.7429,0.003,0.3339,0.7096,0.5006,0.3231,0.5024,0.2711,0.7182,0.1382,9,6,1.0
6596,0.7427,0.7633,-0.1584,0.569,0.4036,0.4686,0.238,0.0988,0.7929,-0.0788,0.5562,0.1413,0.7285,0.1074,-0.2701,0.8758,0.2648,0.0536,0.8355,0.1707,0.1254,0.2914,0.3396,0.641,0.6342,0.4812,-0.1473,0.9628,-0.0387,0.6305,0.4607,0.5027,0.7934,0.8641,0.7059,0.0989,0.8245,0.6989,0.5184,0.1758,0.6397,0.4348,1.4533,0.4591,0.2435,0.3782,0.2355,0.6696,0.156,0.6412,3,2,1.0
15191,0.9451,0.5652,0.0248,0.5769,0.6061,0.7813,0.8653,0.0031,0.7273,1.3221,0.1018,0.6306,0.5716,0.4434,0.0081,-0.2111,0.6251,0.5569,0.6027,0.1141,1.3275,0.9162,0.9069,0.2762,0.3604,0.691,0.7453,-0.0149,0.5685,0.8992,0.2566,1.2809,0.2867,0.1662,0.2027,0.3733,0.469,0.6072,0.7773,0.7108,0.4428,0.6461,0.2177,0.2856,0.7747,0.1804,0.9253,0.3821,0.6631,0.6287,7,5,1.0
8893,0.5323,0.2607,0.1921,1.1071,1.0112,1.0381,0.7286,0.8298,0.2391,1.085,0.6126,-0.1325,1.2093,0.3679,0.3175,1.2182,0.7153,0.7619,-0.1955,0.8561,0.6622,0.9525,0.1974,0.5816,1.0616,-0.0549,0.3489,0.6222,0.9663,0.0203,0.5463,0.4379,0.1333,0.1856,0.2508,-0.049,0.0285,0.5289,0.8603,1.1007,0.6848,0.1719,-0.0389,0.9781,0.4315,0.3908,0.8663,0.1045,0.252,0.7703,4,4,1.0
19318,0.3543,0.3237,-0.0144,-0.2472,0.32,-0.0134,0.9099,0.0499,-0.2017,0.8544,-0.1319,0.4859,0.5148,0.9373,0.639,-0.1692,0.0975,0.3961,0.0754,0.8463,0.8258,0.3071,-0.1118,0.4844,0.4104,1.1399,0.6426,0.0143,0.3253,0.5194,0.5995,0.5092,-0.0066,0.2809,0.0377,0.2412,0.5776,0.5178,0.0331,0.1478,0.7024,-0.0671,0.2997,0.3797,0.4779,0.5068,0.5895,0.3786,0.1486,0.056,9,6,1.0
11925,1.0192,0.2336,1.3239,0.9744,-0.2948,1.1933,0.8718,0.4103,-0.5809,0.4092,-0.2027,0.1934,0.2825,0.8706,0.2081,0.7153,0.4919,-0.1276,0.7681,0.5597,0.3497,0.3143,0.7963,0.0732,0.8966,0.9586,0.33,0.3163,0.2977,-0.082,0.5186,0.4795,0.2153,0.7492,0.9754,-0.0422,0.2502,0.3505,0.3607,1.0502,0.4999,1.2225,0.331,0.1161,0.4824,0.7296,0.2323,0.2391,-0.077,0.4786,5,9,1.0
17525,0.1653,0.9747,0.1625,0.476,0.8153,0.6402,0.9867,0.3774,1.1617,-0.3015,0.167,0.6598,1.1135,0.4956,0.8426,0.1292,0.7543,0.9326,0.8715,0.5445,0.3266,0.6062,0.208,0.2051,1.1389,0.1408,1.2169,0.2079,-0.0417,0.7539,0.308,1.0123,-0.3807,0.5119,-0.1593,0.2588,0.8957,-0.2668,0.3843,0.285,0.8755,0.733,0.5111,1.0622,0.3989,0.2524,0.7854,0.4014,0.5226,0.0124,8,7,1.0
